Group Name,Rank,Species,Status,FWS Total,Other Fed,Federal Total,States Total,Species Total
Mammals,1426,Addax (Addax nasomaculatus) - Wherever found,E,$0,$200,$200,$0,$200
Mammals,1040,"Ass, Asian wild (Equus hemionus) - Wherever found",E,$0,"$12,500","$12,500",$0,"$12,500"
Mammals,1423,Babirusa (Babyrousa babyrussa) - Wherever found,E,$0,$300,$300,$0,$300
Mammals,165,"Bat, Florida bonneted (Eumops floridanus) - Wherever found",E,"$369,500","$399,334","$768,834","$33,965","$802,799"
Mammals,133,"Bat, gray (Myotis grisescens) - Wherever found",E,"$300,780","$646,723","$947,503","$127,190","$1,074,693"
Mammals,84,"Bat, Hawaiian hoary (Lasiurus cinereus semotus) - Wherever found",E,"$1,199,808","$863,036","$2,062,844",$0,"$2,062,844"
Mammals,42,"Bat, Indiana (Myotis sodalis) - Wherever found",E,"$2,038,556","$3,489,421","$5,527,977","$254,874","$5,782,851"
Mammals,326,"Bat, lesser long-nosed (Leptonycteris curasoae yerbabuenae) - Wherever found",E,"$40,500","$152,674","$193,174","$19,855","$213,029"
Mammals,1380,"Bat, little Mariana fruit (Pteropus tokudae) - Wherever found",E,"$2,104",$0,"$2,104",$0,"$2,104"
Mammals,316,"Bat, Mariana fruit (=Mariana flying fox) (Pteropus mariannus mariannus) - Wherever found",T,"$95,171","$143,282","$238,453",$0,"$238,453"
Mammals,509,"Bat, Mexican long-nosed (Leptonycteris nivalis) - Wherever found",E,"$7,500","$41,843","$49,343","$41,155","$90,498"
Mammals,39,"Bat, Northern long-eared (Myotis septentrionalis) - Wherever found",T,"$1,641,693","$5,028,226","$6,669,919","$295,751","$6,965,670"
Mammals,468,"Bat, Ozark big-eared (Corynorhinus (=Plecotus) townsendii ingens) - Wherever found",E,"$98,500","$24,883","$123,383","$3,780","$127,163"
Mammals,1161,"Bat, Pacific sheath-tailed (Emballonura semicaudata rotensis) - Wherever found",E,"$9,573",$0,"$9,573",$0,"$9,573"
Mammals,301,"Bat, Virginia big-eared (Corynorhinus (=Plecotus) townsendii virginianus) - Wherever found",E,"$66,111","$194,512","$260,623","$1,500","$262,123"
Mammals,1333,"Bear, brown (Ursus arctos pruinosus) - Wherever found",E,$0,"$4,800","$4,800",$0,"$4,800"
Mammals,40,"Bear, grizzly (Ursus arctos horribilis) - U.S.A., conterminous (lower 48) States, except where listed as an experimental population",T,"$3,658,509","$2,627,323","$6,285,832","$629,465","$6,915,297"
Mammals,1141,"Bear, grizzly (Ursus arctos horribilis) - Bitterroot Grizzly Bear Nonessential Experimental Population Area",EXPN,$0,"$10,000","$10,000",$0,"$10,000"
Mammals,60,"Bear, polar (Ursus maritimus) - Wherever found",T,"$1,577,500","$2,349,146","$3,926,646","$73,270","$3,999,916"
Mammals,311,"Bison, wood (Bison bison athabascae) - Wherever found",T,"$8,500",$200,"$8,700","$232,863","$241,563"
Mammals,202,"Caribou, Woodland (Rangifer tarandus caribou) - Selkirk Mountain population",E,"$592,969","$2,400","$595,369","$20,901","$616,270"
Mammals,1394,"Cat, leopard (Prionailurus (=Felis) bengalensis bengalensis) - Wherever found",E,"$1,400",$200,"$1,600",$0,"$1,600"
Mammals,1426,"Cat, tiger (Leopardus (=Felis) tigrinus) - Wherever found",E,$0,$200,$200,$0,$200
Mammals,352,Cheetah (Acinonyx jubatus) - Wherever found,E,$0,"$186,050","$186,050",$0,"$186,050"
Mammals,120,Chimpanzee (Pan troglodytes) - Wherever found,E,"$1,285,751",$0,"$1,285,751",$0,"$1,285,751"
Mammals,378,"Chimpanzee, pygmy (Pan paniscus) - Wherever found",E,"$166,409",$0,"$166,409",$0,"$166,409"
Mammals,273,"Deer, Columbian white-tailed (Odocoileus virginianus leucurus) - Columbia River DPS",E,"$334,036","$6,700","$340,736","$5,000","$345,736"
Mammals,387,"Deer, Eld's brow-antlered (Cervus eldi) - Wherever found",E,"$98,200","$59,200","$157,400",$0,"$157,400"
Mammals,103,"Deer, key (Odocoileus virginianus clavium) - Wherever found",E,"$666,000","$1,007,635","$1,673,635",$0,"$1,673,635"
Mammals,1343,"Deer, musk (Moschus spp. (all species)) - Afghanistan, Bhutan, Burma, China [Tibet, Yunnan], India, Nepal, Pakistan, Sikkim",E,"$4,500",$0,"$4,500",$0,"$4,500"
Mammals,1232,"Dog, African wild (Lycaon pictus) - Wherever found",E,$0,"$8,000","$8,000",$0,"$8,000"
Mammals,1040,Drill (Mandrillus (=Papio) leucophaeus) - Wherever found,E,"$12,500",$0,"$12,500",$0,"$12,500"
Mammals,1427,Dugong (Dugong dugon) - Wherever found,E,$0,$100,$100,$0,$100
Mammals,51,"Elephant, African (Loxodonta africana) - Wherever found",T,"$4,674,200",$0,"$4,674,200",$0,"$4,674,201"
Mammals,83,"Elephant, Asian (Elephas maximus) - Wherever found",E,"$1,517,593","$592,300","$2,109,893",$0,"$2,109,894"
Mammals,66,"Ferret, black-footed (Mustela nigripes) - Wherever found, except where listed as an experimental population",E,"$2,300,641","$763,262","$3,063,903","$188,125","$3,252,029"
Mammals,186,"Ferret, black-footed (Mustela nigripes) - U.S.A. (WY and specified portions of AZ, CO, MT, SD, and UT, see 17.84(g)(9))",EXPN,"$10,500","$179,178","$189,678","$526,370","$716,049"
