Group Name,Rank,Species ,Status,FWS Total,Other Fed,Federal Total,States Total,Species Total
Mammals,158,"Bat, Florida bonneted (Eumops floridanus) - Wherever found",E,"$424,000","$366,607","$790,607",$0,"$790,607"
Mammals,143,"Bat, gray (Myotis grisescens) - Wherever found",E,"$397,924","$522,119","$920,043","$25,800","$945,843"
Mammals,93,"Bat, Hawaiian hoary (Lasiurus cinereus semotus) - Wherever found",E,"$616,841","$1,121,167","$1,738,008",$0,"$1,738,008"
Mammals,50,"Bat, Indiana (Myotis sodalis) - Wherever found",E,"$1,820,373","$3,471,152","$5,291,525","$191,727","$5,483,252"
Mammals,606,"Bat, Mariana fruit (=Mariana flying fox) - Wherever found",E,"$42,842",$0,"$42,842",$0,"$42,842"
Mammals,398,(Pteropus mariannus mariannus) - Wherever found,T,"$59,402","$65,302","$124,704",$0,"$124,704"
Mammals,626,"Bat, Mexican long-nosed (Leptonycteris nivalis) - Wherever found",E,"$5,000","$21,300","$26,300","$13,576","$39,876"
Mammals,43,"Bat, Northern long-eared (Myotis septentrionalis) - Wherever found",T,"$1,538,481","$4,934,333","$6,472,814","$361,930","$6,834,744"
Mammals,431,"Bat, Ozark big-eared (Corynorhinus (=Plecotus) townsendii ingens) - Wherever found",E,"$74,204","$20,347","$94,551","$4,000","$98,551"
Mammals,636,"Bat, Pacific sheath-tailed (Emballonura semicaudata rotensis) - Wherever found",E,"$38,684",$0,"$38,684",$0,"$38,684"
Mammals,897,"Bat, Pacific sheath-tailed (Emballonura semicaudata semicaudata) - American Samoa",E,"$14,500",$0,"$14,500",$0,"$14,500"
Mammals,274,"Bat, Virginia big-eared (Corynorhinus (=Plecotus) townsendii virginianus) - Wherever found",E,"$132,285","$116,603","$248,888","$37,182","$286,070"
Mammals,1181,"Bear, brown (Ursus arctos pruinosus) - Wherever found",E,$0,"$4,073","$4,073",$0,"$4,073"
Mammals,33,"Bear, grizzly (Ursus arctos horribilis) - U.S.A., conterminous (lower 48) States, except where listed as an experimental population",T,"$2,394,362","$3,760,428","$6,154,790","$3,099,083","$9,253,873"
Mammals,170,"Bear, grizzly (Ursus arctos horribilis) - Bitterroot Grizzly Bear Nonessential Experimental Population Area",EXPN,"$590,096","$40,000","$630,096","$59,500","$689,596"
Mammals,808,"UBear, grizzly (Ursus arctos horribilis) - Cabinet- Yaak Recovery Zone Population",UR,$0,$0,$0,"$19,500","$19,500"
Mammals,587,"Bear, grizzly (Ursus arctos horribilis) - Greater Yellowstone Ecosystem DPS",UR,$0,$0,$0,"$47,000","$47,000"
Mammals,75,"Bear, polar (Ursus maritimus) - Wherever found",T,"$872,000","$1,827,190","$2,699,190",$0,"$2,699,190"
Mammals,292,"Bison, wood (Bison bison athabascae) - Wherever found",T,"$186,000",$0,"$186,000","$62,017","$248,017"
Mammals,300,"Caribou DPS, Southern Mountain (Rangifer tarandus ssp. caribou) - Southern Mountain DPS",E,"$219,132","$3,900","$223,032","$10,000","$233,032"
Mammals,490,Chimpanzee (Pan troglodytes) - Wherever found,E,"$74,339",$0,"$74,339",$0,"$74,339"
Mammals,232,"Deer, Columbian white-tailed (Odocoileus virginianus leucurus) - Columbia River DPS",T,"$424,023",$146,"$424,169","$10,000","$434,169"
Mammals,394,"Deer, key (Odocoileus virginianus clavium) - Wherever found",E,"$121,000","$5,231","$126,231",$0,"$126,231"
Mammals,348,"Dolphin, Maui (Cephalorhynchus hectori maui) ",E,$0,"$158,636","$158,636",$0,"$158,636"
Mammals,72,"Elephant, African (Loxodonta africana) - Wherever found",T,"$3,083,083",$0,"$3,083,083",$0,"$3,083,083"
Mammals,112,"Elephant, Asian (Elephas maximus) - Wherever found",E,"$1,296,246",$0,"$1,296,246",$0,"$1,296,246"
Mammals,116,"Ferret, black-footed (Mustela nigripes) - Wherever found, except where listed as an experimental population",E,"$407,929","$775,500","$1,183,429",$0,"$1,183,429"
Mammals,142,"Ferret, black-footed (Mustela nigripes) - U.S.A. (WY and specified portions of AZ, CO, MT, SD, and UT, see 17.84(g)(9))",EXPN,"$18,500","$534,876","$553,376","$396,627","$950,003"
Mammals,119,"Fox, San Joaquin kit (Vulpes macrotis mutica) - wherever found",E,"$798,000","$358,730","$1,156,730",$0,"$1,156,730"
Mammals,1197,"Fox, Santa Catalina Island (Urocyon littoralis catalinae) - Wherever found",T,"$3,350",$0,"$3,350",$0,"$3,350"
Mammals,154,Gibbons (Hylobates spp. (including Nomascus)) - wherever found,E,"$843,638",$0,"$843,638",$0,"$843,638"
Mammals,260,Gorilla (Gorilla gorilla) - Wherever found ,E,"$316,116","$3,150","$319,266",$0,"$319,266"
Mammals,263,Jaguar (Panthera onca) - Wherever found,E,"$301,182","$16,300","$317,482",$0,"$317,482"
Mammals,494,"Jaguarundi, Gulf Coast (Herpailurus (=Felis) yagouaroundi cacomitli) - Wherever found",E,"$72,300",$210,"$72,510",$0,"$72,510"
Mammals,616,"Kangaroo rat, Fresno (Dipodomys nitratoides exilis) - Wherever found",E,"$27,000","$14,438","$41,438",$0,"$41,438"
Mammals,320,"Kangaroo rat, giant (Dipodomys ingens) - Wherever found",E,"$124,000","$74,458","$198,458",$0,"$198,458"
Mammals,649,"Kangaroo rat, Morro Bay (Dipodomys heermanni morroensis) - Wherever found",E,"$36,000",$0,"$36,000",$0,"$36,000"
Mammals,221,"Kangaroo rat, San Bernardino Merriam's (Dipodomys merriami parvus) - Wherever found",E,"$406,000","$67,138","$473,138",$0,"$473,138"
Mammals,184,"Kangaroo rat, Stephens' (Dipodomys stephensi (incl. D. cascus)) - Wherever found",E,"$57,000","$539,888","$596,888",$0,"$596,888"
Mammals,345,"Kangaroo rat, Tipton (Dipodomys nitratoides nitratoides) - Wherever found",E,"$103,000","$57,300","$160,300",$0,"$160,300"
Mammals,1170,Leopard (Panthera pardus) - except where threatened,E,"$4,620",$0,"$4,620",$0,"$4,620"
Mammals,436,Lion (Panthera leo ssp. leo) - Wherever found,E,"$97,076",$0,"$97,076",$0,"$97,076"
