Group,Status,Scientific Name,Inverted Common Name,FWS 2017,Other Fed 2017,States 2017,Total 2017,Area
Amphibians,E,arroyo southwestern ,"toad, arroyo ",245087,375272,0,620359,
Amphibians,T,ambystoma californiense ,"salamander, california tiger ",737957,1052249,0,1790206, u.s.a. 
Amphibians,E,ambystoma californiense ,"salamander, california tiger ",570447,52156,0,622603, u.s.a. 
Amphibians,E,ambystoma californiense ,"salamander, california tiger ",541608,100600,0,642208, u.s.a. 
Amphibians,E,eurycea sosorum ,"salamander, barton springs ",15000,300,0,15300, wherever found
Amphibians,E,eurycea waterlooensis ,"salamander, austin blind ",5500,200,0,5700, wherever found
Amphibians,E,cryptobranchus alleganiensis bishopi ,"hellbender, ozark ",46500,10000,17900,74400, wherever found
Amphibians,T,eleutherodactylus cooki ,guajon ,6000,0,0,6000, wherever found
Amphibians,E,rana sierrae ,"frog, sierra nevada yellow-legged ",235356,470500,0,705856, wherever found
Amphibians,E,atelopus varius zeteki ,"frog, panamanian golden ",0,41750,0,41750, wherever found
Amphibians,T,rana pretiosa ,"frog, oregon spotted ",1021785,529726,24480,1575991, wherever found
Amphibians,E,rana muscosa ,"frog, mountain yellow-legged ",205945,212008,0,417953, northern california dps
Amphibians,E,rana muscosa ,"frog, mountain yellow-legged ",72490,18578,0,91068, southern california dps
Amphibians,E,rana sevosa ,"frog, dusky gopher ",316000,17734,0,333734, wherever found
Amphibians,T,rana chiricahuensis ,"frog, chiricahua leopard ",88488,188396,291140,568024, wherever found
Amphibians,T,rana draytonii ,"frog, california red-legged ",1342481,1781829,0,3124310, wherever found
Amphibians,E,eleutherodactylus juanariveroi ,"coqui, llanero ",9500,0,0,9500, wherever found
Amphibians,T,eleutherodactylus jasperi ,"coqui, golden ",13000,28250,0,41250, wherever found
Amphibians,T,plethodon nettingi ,"salamander, cheat mountain ",12180,200,7336,19716, wherever found
Amphibians,T,ambystoma cingulatum ,"salamander, frosted flatwoods ",442000,350681,46933,839614, wherever found
Amphibians,E,batrachoseps aridus ,"salamander, desert slender ",550,10000,0,10550, wherever found
Amphibians,E,andrias japonicus ,"salamander, japanese giant ",0,55750,0,55750,
Amphibians,T,anaxyrus canorus ,"toad, yosemite ",211200,226522,0,437722, wherever found
