Common Name,Scientific Name,Area,Group,Recovery Document Date,Status,Region,Recovery Actions
Indiana bat,Myotis sodalis,Wherever found,Mammals,2007-04-16,E,Great Lakes-Big Rivers Region,116.0
Grizzly bear,Ursus arctos horribilis,"U.S.A., conterminous (lower 48) States, except where listed as an experimental population",Mammals,1993-09-10,T,Mountain-Prairie Region,329.0
Columbian white-tailed deer,Odocoileus virginianus leucurus,Columbia River DPS,Mammals,1983-06-14,T,Pacific Region,14.0
Black-footed ferret,Mustela nigripes,"Wherever found, except where listed as an experimental population",Mammals,2013-12-23,E,Mountain-Prairie Region,84.0
San Joaquin kit fox,Vulpes macrotis mutica,wherever found,Mammals,1998-09-30,E,California/Nevada Region,84.0
West Indian Manatee,Trichechus manatus,Wherever found,Mammals,1986-12-24,T,Southeast Region,14.0
West Indian Manatee,Trichechus manatus,Wherever found,Mammals,2001-10-30,T,Southeast Region,122.0
Florida panther,Puma (=Felis) concolor coryi,Wherever found,Mammals,2008-12-18,E,Southeast Region,165.0
Sonoran pronghorn,Antilocapra americana sonoriensis,"Wherever found, except where listed as an experimental population",Mammals,2016-11-22,E,Southwest Region,39.0
Red wolf,Canis rufus,"Wherever found, except where listed as an experimental population",Mammals,1990-10-26,E,Southeast Region,40.0
Hawaiian hoary bat,Lasiurus cinereus semotus,Wherever found,Mammals,1998-05-11,E,Pacific Region,13.0
Morro Bay kangaroo rat,Dipodomys heermanni morroensis,Wherever found,Mammals,2000-01-25,E,California/Nevada Region,68.0
Salt marsh harvest mouse,Reithrodontomys raviventris,wherever found,Mammals,2014-02-26,E,California/Nevada Region,102.0
Jaguar,Panthera onca,Wherever found,Mammals,2018-07-27,E,Southwest Region,22.0
Utah prairie dog,Cynomys parvidens,Wherever found,Mammals,2012-04-26,T,Mountain-Prairie Region,35.0
Gray bat,Myotis grisescens,Wherever found,Mammals,1982-07-08,E,Great Lakes-Big Rivers Region,68.0
Ozark big-eared bat,Corynorhinus (=Plecotus) townsendii ingens,Wherever found,Mammals,1995-03-28,E,Southwest Region,26.0
Little Mariana fruit Bat,Pteropus tokudae,Wherever found,Mammals,1990-11-02,E,Pacific Region,99.0
Virginia big-eared bat,Corynorhinus (=Plecotus) townsendii virginianus,Wherever found,Mammals,1984-05-08,E,Northeast Region,45.0
Amargosa vole,Microtus californicus scirpensis,Wherever found,Mammals,1997-09-15,E,California/Nevada Region,38.0
Silver rice rat,Oryzomys palustris natator,lower FL Keys,Mammals,1999-05-18,E,Southeast Region,48.0
Ocelot,Leopardus (=Felis) pardalis,wherever found,Mammals,2016-08-10,E,Southwest Region,
Key Largo cotton mouse,Peromyscus gossypinus allapaticola,Wherever found,Mammals,1999-05-18,E,Southeast Region,53.0
Key Largo woodrat,Neotoma floridana smalli,Wherever found,Mammals,1999-05-18,E,Southeast Region,54.0
