Group,Status,Scientific Name,Common Name,Location,Status Category,Listing Date,Inverted Common Name,Area
Algae,E,isogomphodon oxyrhynchus,daggernose shark,Foreign,Listed,,"shark, daggernose",
Amphibians,E,discoglossus nigriventer,israel painted frog,Foreign,Listed,1970-06-02,"frog, israel painted",wherever found
Amphibians,RT,eurycea species,comal springs salamander,Domestic,Not Listed,,"salamander, comal springs",wherever found
Amphibians,E,leiopelma hamiltoni,stephen island frog,Foreign,Listed,1970-06-02,"frog, stephen island",wherever found
Amphibians,UR,pseudobranchus striatus lustricolus,gulf hammock dwarf siren,Domestic,"Petitioned for Listing, Under Review",,"siren, gulf hammock dwarf",wherever found
Amphibians,RT,plethodon asupak,scott bar salamander,Domestic,Not Listed,,"salamander, scott bar",wherever found
Amphibians,RT,rhyacotriton olympicus,olympic torrent salamander,Domestic,Not Listed,,"salamander, olympic torrent",wherever found
Amphibians,SC,desmognathus wrighti,pygmy salamander,Domestic,Not Listed,,"salamander, pygmy",wherever found
Amphibians,E,eleutherodactylus juanariveroi,llanero coqui,Domestic,Listed,2012-10-04,"coqui, llanero",wherever found
Amphibians,SU,lithobates sylvaticus,wood frog,Domestic,Not Listed,,"frog, wood",wherever found
Amphibians,SU,anaxyrus nevadensis,railroad valley toad,Domestic,Not Listed,,"toad, railroad valley",
Amphibians,SC,batrachoseps sp.,breckenridge mountain slender salamander,Domestic,Not Listed,,"salamander, breckenridge mountain slender",wherever found
Amphibians,UR,desmognathus aeneus,seepage salamander,Domestic,"Petitioned for Listing, Under Review",,"salamander, seepage",wherever found
Amphibians,RT,eurycea troglodytes,valdina farms salamander,Domestic,Not Listed,,"salamander, valdina farms",wherever found
Amphibians,RT,plethodon hubrichti,peaks of otter salamander,Domestic,Not Listed,,"salamander, peaks of otter",wherever found
Amphibians,SC,eurycea aquatica,dark-sided salamander,Domestic,Not Listed,,"salamander, dark-sided",wherever found
Amphibians,SC,plethodon vandykei,van dyke's salamander,Domestic,Not Listed,,"salamander, van dyke's",wherever found
Amphibians,RT,rana fisheri,vegas valley leopard frog,Domestic,Not Listed,,"frog, vegas valley leopard",wherever found
Amphibians,E,eurycea waterlooensis,austin blind salamander,Domestic,Listed,2013-09-19,"salamander, austin blind",wherever found
Amphibians,T,peltophryne lemur,puerto rican crested toad,Both Domestic and Foreign,Listed,1987-08-04,"toad, puerto rican crested",wherever found
Amphibians,SU,batrachoseps campi,inyo mountains slender salamander,Domestic,Not Listed,,"salamander, inyo mountains slender",wherever found
Amphibians,SU,amphiuma pholeter,one-toed amphiuma,Domestic,Not Listed,,"amphiuma, one-toed",wherever found
Amphibians,UR,desmognathus abditus,cumberland dusky salamander,Domestic,"Petitioned for Listing, Under Review",,"salamander, cumberland dusky",wherever found
Amphibians,UR,eurycea tridentifera,comal blind salamander,Domestic,"Petitioned for Listing, Under Review",,"salamander, comal blind",wherever found
Amphibians,T,eleutherodactylus cooki,guajon,Domestic,Listed,1997-06-11,guajon,wherever found
Amphibians,E,anaxyrus baxteri,wyoming toad,Domestic,Listed,1984-01-17,"toad, wyoming",wherever found
Amphibians,E,ambystoma macrodactylum croceum,santa cruz long-toed salamander,Domestic,Listed,1967-03-11,"salamander, santa cruz long-toed",wherever found
Amphibians,RT,eurycea junaluska,junaluska salamander,Domestic,Not Listed,,"salamander, junaluska",wherever found
Amphibians,SC,bufo boreas,western toad,Domestic,Not Listed,,"toad, western",wherever found
Amphibians,RT,rana luteiventris,columbia spotted frog,Both Domestic and Foreign,Not Listed,,"frog, columbia spotted",great basin dps
Amphibians,RT,rana luteiventris,columbia spotted frog,Both Domestic and Foreign,Not Listed,,"frog, columbia spotted",main pop.
Amphibians,E,bufo houstonensis,houston toad,Domestic,Listed,1970-10-13,"toad, houston",wherever found
Amphibians,UR,spea hammondii,western spadefoot,Domestic,"Petitioned for Listing, Under Review",,"spadefoot, western",wherever found
Amphibians,RT,rhyacotriton variegatus,southern torrent salamander,Domestic,Not Listed,,"salamander, southern torrent",wherever found
Amphibians,SU,plethodon vehiculum,western red-backed salamander,Domestic,Not Listed,,"salamander, western red-backed",wherever found
Amphibians,UR,rhyacotriton kezeri,columbia torrent salamander,Domestic,"Petitioned for Listing, Under Review",,"salamander, columbia torrent",wherever found
Amphibians,E,andrias japonicus (=davidianus j.),japanese giant salamander,Foreign,Listed,1976-06-14,"salamander, japanese giant",wherever found
Amphibians,RT,anaxyrus boreas boreas,boreal toad,Domestic,Not Listed,,"toad, boreal",southern rocky mountain dps
Amphibians,RT,anaxyrus boreas boreas,boreal toad,Domestic,Not Listed,,"toad, boreal",eastern population
Amphibians,SC,batrachoseps pacificus pacificus,channel islands slender salamander,Domestic,Not Listed,,"salamander, channel islands slender",wherever found
Amphibians,RT,rana subaquavocalis,ramsey canyon leopard frog,Domestic,Not Listed,,"frog, ramsey canyon leopard",wherever found
Amphibians,T,necturus lewisi,neuse river waterdog,Domestic,Listed,2021-07-09,"waterdog, neuse river",wherever found
Amphibians,SU,eurycea tynerensis,oklahoma salamander,Domestic,Not Listed,,"salamander, oklahoma",wherever found
Amphibians,UR,eurycea chamberlaini,chamberlain's dwarf salamander,Domestic,"Petitioned for Listing, Under Review",,"salamander, chamberlain's dwarf",wherever found
Amphibians,SC,plethodon vehiculum,western redback salamander,Domestic,Not Listed,,"salamander, western redback",wherever found
Amphibians,E,plethodon neomexicanus,jemez mountains salamander,Domestic,Listed,2013-10-10,"salamander, jemez mountains",wherever found
