Group Name,Rank,Species (50 CFR Part 17),Status,FWS Total,,Other Fed,,Federal Total,States Total,,Species Total
Mammals,1426,Addax (Addax nasomaculatus) - Wherever found,E,$0,,$200,,$200,$0,,$200
"",1040,"Ass, Asian wild (Equus hemionus) - Wherever found",E,$0,,"$12,500",,"$12,500",$0,,"$12,500"
"",1423,Babirusa (Babyrousa babyrussa) - Wherever found,E,$0,,$300,,$300,$0,,$300
"",165,"Bat, Florida bonneted (Eumops floridanus) - Wherever found",E,"$369,500",,"$399,334",,"$768,834","$33,965",,"$802,799"
"",133,"Bat, gray (Myotis grisescens) - Wherever found",E,"$300,780",,"$646,723",,"$947,503","$127,190",,"$1,074,693"
"",84,"Bat, Hawaiian hoary (Lasiurus cinereus semotus) - Wherever found",E,"$1,199,808",,"$863,036",,"$2,062,844",$0,,"$2,062,844"
"",42,"Bat, Indiana (Myotis sodalis) - Wherever found",E,"$2,038,556",,"$3,489,421",,"$5,527,977","$254,874",,"$5,782,851"
"",,"Bat, lesser long-nosed (Leptonycteris curasoae yerbabuenae) - Wherever",,,,,,,,,
"",326,,E,"$40,500",,"$152,674",,"$193,174","$19,855",,"$213,029"
"",,found,,,,,,,,,
"",1380,"Bat, little Mariana fruit (Pteropus tokudae) - Wherever found",E,"$2,104",,$0,,"$2,104",$0,,"$2,104"
"",,"Bat, Mariana fruit (=Mariana flying fox) (Pteropus mariannus",,,,,,,,,
"",316,,T,"$95,171",,"$143,282",,"$238,453",$0,,"$238,453"
"",,mariannus) - Wherever found,,,,,,,,,
"",509,"Bat, Mexican long-nosed (Leptonycteris nivalis) - Wherever found",E,"$7,500",,"$41,843",,"$49,343","$41,155",,"$90,498"
"",39,"Bat, Northern long-eared (Myotis septentrionalis) - Wherever found",T,"$1,641,693",,"$5,028,226",,"$6,669,919","$295,751",,"$6,965,670"
"",,"Bat, Ozark big-eared (Corynorhinus (=Plecotus) townsendii ingens) -",,,,,,,,,
"",468,,E,"$98,500",,"$24,883",,"$123,383","$3,780",,"$127,163"
"",,Wherever found,,,,,,,,,
"",,"Bat, Pacific sheath-tailed (Emballonura semicaudata rotensis) -",,,,,,,,,
"",1161,,E,"$9,573",,$0,,"$9,573",$0,,"$9,573"
"",,Wherever found,,,,,,,,,
"",,"Bat, Virginia big-eared (Corynorhinus (=Plecotus) townsendii",,,,,,,,,
"",301,,E,"$66,111",,"$194,512",,"$260,623","$1,500",,"$262,123"
"",,virginianus) - Wherever found,,,,,,,,,
"",1333,"Bear, brown (Ursus arctos pruinosus) - Wherever found",E,$0,,"$4,800",,"$4,800",$0,,"$4,800"
"",,"Bear, grizzly (Ursus arctos horribilis) - U.S.A., conterminous (lower 48)",,,,,,,,,
"",40,,T,"$3,658,509",,"$2,627,323",,"$6,285,832","$629,465",,"$6,915,297"
"",,"States, except where listed as an experimental population",,,,,,,,,
"",,"Bear, grizzly (Ursus arctos horribilis) - Bitterroot Grizzly Bear",,,,,,,,,
"",1141,,EXPN,$0,,"$10,000",,"$10,000",$0,,"$10,000"
"",,Nonessential Experimental Population Area,,,,,,,,,
"",60,"Bear, polar (Ursus maritimus) - Wherever found",T,"$1,577,500",,"$2,349,146",,"$3,926,646","$73,270",,"$3,999,916"
"",311,"Bison, wood (Bison bison athabascae) - Wherever found",T,"$8,500",,$200,,"$8,700","$232,863",,"$241,563"
"",,"Caribou, Woodland (Rangifer tarandus caribou) - Selkirk Mountain",,,,,,,,,
"",202,,E,"$592,969",,"$2,400",,"$595,369","$20,901",,"$616,270"
"",,population,,,,,,,,,
"",,"Cat, leopard (Prionailurus (=Felis) bengalensis bengalensis) - Wherever",,,,,,,,,
"",1394,,E,"$1,400",,$200,,"$1,600",$0,,"$1,600"
"",,found,,,,,,,,,
"",1426,"Cat, tiger (Leopardus (=Felis) tigrinus) - Wherever found",E,$0,,$200,,$200,$0,,$200
"",352,Cheetah (Acinonyx jubatus) - Wherever found,E,$0,,"$186,050",,"$186,050",$0,,"$186,050"
"",120,Chimpanzee (Pan troglodytes) - Wherever found,E,"$1,285,751",,$0,,"$1,285,751",$0,,"$1,285,751"
"",378,"Chimpanzee, pygmy (Pan paniscus) - Wherever found",E,"$166,409",,$0,,"$166,409",$0,,"$166,409"
"",,"Deer, Columbian white-tailed (Odocoileus virginianus leucurus) -",,,,,,,,,
"",273,,E,"$334,036",,"$6,700",,"$340,736","$5,000",,"$345,736"
"",,Columbia River DPS,,,,,,,,,
"",387,"Deer, Eld's brow-antlered (Cervus eldi) - Wherever found",E,"$98,200",,"$59,200",,"$157,400",$0,,"$157,400"
"",103,"Deer, key (Odocoileus virginianus clavium) - Wherever found",E,"$666,000",,"$1,007,635",,"$1,673,635",$0,,"$1,673,635"
"",,"Deer, musk (Moschus spp. (all species)) - Afghanistan, Bhutan, Burma,",,,,,,,,,
"",1343,,E,"$4,500",,$0,,"$4,500",$0,,"$4,500"
"",,"China [Tibet, Yunnan], India, Nepal, Pakistan, Sikkim",,,,,,,,,
"",1232,"Dog, African wild (Lycaon pictus) - Wherever found",E,$0,,"$8,000",,"$8,000",$0,,"$8,000"
"",1040,Drill (Mandrillus (=Papio) leucophaeus) - Wherever found,E,"$12,500",,$0,,"$12,500",$0,,"$12,500"
"",1427,Dugong (Dugong dugon) - Wherever found,E,$0,,$100,,$100,$0,,$100
Group Name,Rank,Species (50 CFR Part 17),Status,FWS Total,Other Fed,,Federal Total,States Total,,Species Total
"",51,"Elephant, African (Loxodonta africana) - Wherever found",T,"$4,674,200",$0,,"$4,674,200",$0,,"$4,674,200"
"",83,"Elephant, Asian (Elephas maximus) - Wherever found",E,"$1,517,593","$592,300",,"$2,109,893",$0,,"$2,109,893"
"",,"Ferret, black-footed (Mustela nigripes) - Wherever found, except where",,,,,,,,
"",66,,E,"$2,300,641","$763,262",,"$3,063,903","$188,125",,"$3,252,028"
"",,listed as an experimental population,,,,,,,,
"",,"Ferret, black-footed (Mustela nigripes) - U.S.A. (WY and specified",,,,,,,,
"",186,,EXPN,"$10,500","$179,178",,"$189,678","$526,370",,"$716,048"
"",,"portions of AZ, CO, MT, SD, and UT, see 17.84(g)(9))",,,,,,,,
"",122,"Fox, San Joaquin kit (Vulpes macrotis mutica) - wherever found",E,"$793,705","$444,463",,"$1,238,168",$0,,"$1,238,168"
"",,"Fox, Santa Catalina Island (Urocyon littoralis catalinae) - Wherever",,,,,,,,
"",757,,T,"$3,190","$29,680",,"$32,870",$0,,"$32,870"
"",,found,,,,,,,,
"",529,"Gazelle, dama (Gazella dama) - Wherever found",E,$0,"$79,450",,"$79,450",$0,,"$79,450"
"",1423,"Gazelle, slender-horned (Gazella leptoceros) - Wherever found",E,$0,$300,,$300,$0,,$300
"",199,Gibbons (Hylobates spp. (including Nomascus)) - Wherever found,E,"$621,049",$700,,"$621,749",$0,,"$621,749"
"",131,Gorilla (Gorilla gorilla) - Wherever found,E,"$1,123,231",$300,,"$1,123,531",$0,,"$1,123,531"
"",586,"Horse, Przewalski's (Equus przewalskii) - Wherever found",E,$0,"$61,950",,"$61,950",$0,,"$61,950"
"",547,Jaguar (Panthera onca) - Wherever found,E,"$30,000","$32,600",,"$62,600","$11,702",,"$74,302"
"",,"Jaguarundi, Guatemalan (Herpailurus (=Felis) yagouaroundi fossata) -",,,,,,,,
"",517,,E,"$85,729",$0,,"$85,729",$0,,"$85,729"
"",,"Mexico,Nicaragua",,,,,,,,
"",,"Jaguarundi, Gulf Coast (Herpailurus (=Felis) yagouaroundi cacomitli) -",,,,,,,,
"",1046,,E,"$6,100","$6,200",,"$12,300",$0,,"$12,300"
"",,Wherever found,,,,,,,,
"",,"Jaguarundi, Panamanian (Herpailurus (=Felis) yagouaroundi",,,,,,,,
"",226,,E,"$490,600",$0,,"$490,600",$0,,"$490,600"
"",,panamensis) - Wherever found,,,,,,,,
"",260,"Kangaroo rat, Fresno (Dipodomys nitratoides exilis) - Wherever found",E,"$25,740","$366,002",,"$391,742",$0,,"$391,742"
"",223,"Kangaroo rat, giant (Dipodomys ingens) - Wherever found",E,"$118,258","$392,340",,"$510,598",$0,,"$510,598"
"",,"Kangaroo rat, Morro Bay (Dipodomys heermanni morroensis) -",,,,,,,,
"",739,,E,"$34,632",$0,,"$34,632",$0,,"$34,632"
"",,Wherever found,,,,,,,,
"",,"Kangaroo rat, San Bernardino Merriam's (Dipodomys merriami parvus) -",,,,,,,,
"",220,,E,"$386,870","$134,602",,"$521,472",$0,,"$521,472"
"",,Wherever found,,,,,,,,
"",,"Kangaroo rat, Stephens' (Dipodomys stephensi (incl. D. cascus)) -",,,,,,,,
"",251,,E,"$54,340","$363,274",,"$417,614",$0,,"$417,614"
"",,Wherever found,,,,,,,,
"",,"Kangaroo rat, Tipton (Dipodomys nitratoides nitratoides) - Wherever",,,,,,,,
"",467,,E,"$97,900","$29,396",,"$127,296",$0,,"$127,296"
"",,found,,,,,,,,
"",1426,Koala (Phascolarctos cinereus) - Australia,T,$0,$200,,$200,$0,,$200
"",,"Langur, Francois' (Trachypithecus (=Presbytis) francoisi) - Wherever",,,,,,,,
"",1426,,E,$0,$200,,$200,$0,,$200
"",,found,,,,,,,,
"",1426,"Lechwe, red (Kobus leche) - Wherever found",T,$0,$200,,$200,$0,,$200
"",,"Lemurs (Lemuridae (incl. genera Lemur, Phaner, Hapalemur, Lepilemur,",,,,,,,,
"",1403,,E,$0,"$1,100",,"$1,100",$0,,"$1,100"
"",,"Microcebus, Allocebus, Cheirogaleus, Varecia)) - Wherever found",,,,,,,,
"",1232,Leopard (Panthera pardus) - except where threatened,E,"$8,000",$0,,"$8,000",$0,,"$8,000"
"",395,Leopard (Panthera pardus) - Gabon to Kenya and southward,T,"$152,177",$0,,"$152,177",$0,,"$152,177"
"",565,"Leopard, clouded (Neofelis nebulosa) - Wherever found",E,$0,"$69,800",,"$69,800",$0,,"$69,800"
"",498,"Leopard, snow (Uncia (=Panthera) uncia) - Wherever found",E,"$99,200",$300,,"$99,500",$0,,"$99,500"
"",242,Lion (Panthera leo ssp. leo) - Wherever found,E,"$457,071",$200,,"$457,271",$0,,"$457,271"
"",72,"Lynx, Canada (Lynx canadensis) - Wherever Found in Contiguous U.S.",T,"$1,899,398","$625,500",,"$2,524,898","$247,135",,"$2,772,033"
"",1194,"Manatee, West African (Trichechus senegalensis) - Wherever found",T,$0,"$9,000",,"$9,000",$0,,"$9,000"
"",25,"Manatee, West Indian (Trichechus manatus) - Wherever found",E,"$2,555,100","$2,557,439",,"$5,112,539","$5,032,819",,"$10,145,358"
Group Name,Rank,Species (50 CFR Part 17),Status,FWS Total,Other Fed,,Federal Total,States Total,,Species Total
"",1020,Mandrill (Mandrillus (=Papio) sphinx) - Wherever found,E,"$12,500",$500,,"$13,000",$0,,"$13,000"
