Group Name,Rank,Species (50 CFR Part 17),Status,FWS Total,Other Fed,Federal Total,States Total,Species Total
Mammals,,"Bat, Florida bonneted (Eumops floridanus) -",,,,,,
"",158,,E,"$424,000","$366,607","$790,607",$0,"$790,607"
"",,Wherever found,,,,,,
"",143,"Bat, gray (Myotis grisescens) - Wherever found",E,"$397,924","$522,119","$920,043","$25,800","$945,843"
"",,"Bat, Hawaiian hoary (Lasiurus cinereus",,,,,,
"",93,,E,"$616,841","$1,121,167","$1,738,008",$0,"$1,738,008"
"",,semotus) - Wherever found,,,,,,
"",50,"Bat, Indiana (Myotis sodalis) - Wherever found",E,"$1,820,373","$3,471,152","$5,291,525","$191,727","$5,483,252"
"",,"Bat, little Mariana fruit (Pteropus tokudae) -",,,,,,
"",606,,E,"$42,842",$0,"$42,842",$0,"$42,842"
"",,Wherever found,,,,,,
"",,"Bat, Mariana fruit (=Mariana flying fox)",,,,,,
"",398,(Pteropus mariannus mariannus) - Wherever,T,"$59,402","$65,302","$124,704",$0,"$124,704"
"",,found,,,,,,
"",,"Bat, Mexican long-nosed (Leptonycteris nivalis)",,,,,,
"",626,,E,"$5,000","$21,300","$26,300","$13,576","$39,876"
"",,- Wherever found,,,,,,
"",,"Bat, Northern long-eared (Myotis",,,,,,
"",43,,T,"$1,538,481","$4,934,333","$6,472,814","$361,930","$6,834,744"
"",,septentrionalis) - Wherever found,,,,,,
"",,"Bat, Ozark big-eared (Corynorhinus (=Plecotus)",,,,,,
"",431,,E,"$74,204","$20,347","$94,551","$4,000","$98,551"
"",,townsendii ingens) - Wherever found,,,,,,
"",,"Bat, Pacific sheath-tailed (Emballonura",,,,,,
"",636,,E,"$38,684",$0,"$38,684",$0,"$38,684"
"",,semicaudata rotensis) - Wherever found,,,,,,
"",,"Bat, Pacific sheath-tailed (Emballonura",,,,,,
"",897,,E,"$14,500",$0,"$14,500",$0,"$14,500"
"",,semicaudata semicaudata) - American Samoa,,,,,,
"",,"Bat, Virginia big-eared (Corynorhinus",,,,,,
"",274,(=Plecotus) townsendii virginianus) - Wherever,E,"$132,285","$116,603","$248,888","$37,182","$286,070"
"",,found,,,,,,
"",,"Bear, brown (Ursus arctos pruinosus) -",,,,,,
"",1181,,E,$0,"$4,073","$4,073",$0,"$4,073"
"",,Wherever found,,,,,,
"",,"Bear, grizzly (Ursus arctos horribilis) - U.S.A.,",,,,,,
"",33,"conterminous (lower 48) States, except where",T,"$2,394,362","$3,760,428","$6,154,790","$3,099,083","$9,253,873"
"",,listed as an experimental population,,,,,,
Group Name,Rank,Species (50 CFR Part 17) Status,,FWS Total,Other Fed,Federal Total,States Total,Species Total
"",,"Bear, grizzly (Ursus arctos horribilis) -",,,,,,
"",170,Bitterroot Grizzly Bear Nonessential EXPN,,"$590,096","$40,000","$630,096","$59,500","$689,596"
"",,Experimental Population Area,,,,,,
"",,"Bear, grizzly (Ursus arctos horribilis) - Cabinet-",,,,,,
"",808,UR,,$0,$0,$0,"$19,500","$19,500"
"",,Yaak Recovery Zone Population,,,,,,
"",,"Bear, grizzly (Ursus arctos horribilis) - Greater",,,,,,
"",587,UR,,$0,$0,$0,"$47,000","$47,000"
"",,Yellowstone Ecosystem DPS,,,,,,
"",75,"Bear, polar (Ursus maritimus) - Wherever found T",,"$872,000","$1,827,190","$2,699,190",$0,"$2,699,190"
"",,"Bison, wood (Bison bison athabascae) -",,,,,,
"",292,T,,"$186,000",$0,"$186,000","$62,017","$248,017"
"",,Wherever found,,,,,,
"",,"Caribou DPS, Southern Mountain (Rangifer",,,,,,
"",300,tarandus ssp. caribou) - Southern Mountain E,,"$219,132","$3,900","$223,032","$10,000","$233,032"
"",,DPS,,,,,,
"",,Chimpanzee (Pan troglodytes) - Wherever,,,,,,
"",490,E,,"$74,339",$0,"$74,339",$0,"$74,339"
"",,found,,,,,,
"",,"Deer, Columbian white-tailed (Odocoileus",,,,,,
"",232,T,,"$424,023",$146,"$424,169","$10,000","$434,169"
"",,virginianus leucurus) - Columbia River DPS,,,,,,
"",,"Deer, key (Odocoileus virginianus clavium) -",,,,,,
"",394,E,,"$121,000","$5,231","$126,231",$0,"$126,231"
"",,Wherever found,,,,,,
"",348,"Dolphin, Maui (Cephalorhynchus hectori maui) E",,$0,"$158,636","$158,636",$0,"$158,636"
"",,"Elephant, African (Loxodonta africana) -",,,,,,
"",72,T,,"$3,083,083",$0,"$3,083,083",$0,"$3,083,083"
"",,Wherever found,,,,,,
"",,"Elephant, Asian (Elephas maximus) - Wherever",,,,,,
"",112,E,,"$1,296,246",$0,"$1,296,246",$0,"$1,296,246"
"",,found,,,,,,
"",,"Ferret, black-footed (Mustela nigripes) -",,,,,,
"",116,"Wherever found, except where listed as an E",,"$407,929","$775,500","$1,183,429",$0,"$1,183,429"
"",,experimental population,,,,,,
"",,"Ferret, black-footed (Mustela nigripes) - U.S.A.",,,,,,
"",142,"(WY and specified portions of AZ, CO, MT, EXPN",,"$18,500","$534,876","$553,376","$396,627","$950,003"
"",,"SD, and UT, see 17.84(g)(9))",,,,,,
"",,"Fox, San Joaquin kit (Vulpes macrotis mutica) -",,,,,,
"",119,E,,"$798,000","$358,730","$1,156,730",$0,"$1,156,730"
"",,wherever found,,,,,,
"",,"Fox, Santa Catalina Island (Urocyon littoralis",,,,,,
"",1197,T,,"$3,350",$0,"$3,350",$0,"$3,350"
"",,catalinae) - Wherever found,,,,,,
"",,Gibbons (Hylobates spp. (including Nomascus)),,,,,,
"",154,E,,"$843,638",$0,"$843,638",$0,"$843,638"
"",,- Wherever found,,,,,,
"",260,Gorilla (Gorilla gorilla) - Wherever found E,,"$316,116","$3,150","$319,266",$0,"$319,266"
Group Name,Rank,Species (50 CFR Part 17),Status,FWS Total,Other Fed,Federal Total,States Total,Species Total
"",263,Jaguar (Panthera onca) - Wherever found,E,"$301,182","$16,300","$317,482",$0,"$317,482"
"",,"Jaguarundi, Gulf Coast (Herpailurus (=Felis)",,,,,,
"",494,,E,"$72,300",$210,"$72,510",$0,"$72,510"
"",,yagouaroundi cacomitli) - Wherever found,,,,,,
"",,"Kangaroo rat, Fresno (Dipodomys nitratoides",,,,,,
"",616,,E,"$27,000","$14,438","$41,438",$0,"$41,438"
"",,exilis) - Wherever found,,,,,,
"",,"Kangaroo rat, giant (Dipodomys ingens) -",,,,,,
"",320,,E,"$124,000","$74,458","$198,458",$0,"$198,458"
"",,Wherever found,,,,,,
"",,"Kangaroo rat, Morro Bay (Dipodomys",,,,,,
"",649,,E,"$36,000",$0,"$36,000",$0,"$36,000"
"",,heermanni morroensis) - Wherever found,,,,,,
"",,"Kangaroo rat, San Bernardino Merriam's",,,,,,
"",221,(Dipodomys merriami parvus) - Wherever,E,"$406,000","$67,138","$473,138",$0,"$473,138"
"",,found,,,,,,
"",,"Kangaroo rat, Stephens' (Dipodomys stephensi",,,,,,
"",184,,E,"$57,000","$539,888","$596,888",$0,"$596,888"
"",,(incl. D. cascus)) - Wherever found,,,,,,
"",,"Kangaroo rat, Tipton (Dipodomys nitratoides",,,,,,
"",345,,E,"$103,000","$57,300","$160,300",$0,"$160,300"
"",,nitratoides) - Wherever found,,,,,,
"",,Leopard (Panthera pardus) - except where,,,,,,
"",1170,,E,"$4,620",$0,"$4,620",$0,"$4,620"
"",,threatened,,,,,,
"",436,Lion (Panthera leo ssp. leo) - Wherever found,E,"$97,076",$0,"$97,076",$0,"$97,076"
"",,Lion (Panthera leo ssp. melanochaita) -,,,,,,
"",436,,T,"$97,076",$0,"$97,076",$0,"$97,076"
"",,Wherever found,,,,,,
"",,"Lynx, Canada (Lynx canadensis) - Wherever",,,,,,
"",70,,T,"$771,967","$1,226,188","$1,998,155","$1,240,002","$3,238,157"
"",,Found in Contiguous U.S.,,,,,,
"",,"Manatee, West Indian (Trichechus manatus) -",,,,,,
"",36,,T,"$2,171,500","$6,479,480","$8,650,980","$30,100","$8,681,080"
"",,Wherever found,,,,,,
"",,"Markhor, chiltan (=wild goat) (Capra falconeri",,,,,,
"",150,,E,"$889,996",$0,"$889,996",$0,"$889,996"
"",,(=aegragrus) chiltanensis) - Wherever found,,,,,,
